Gender,isGenderNeutral,request_id,insertions,deletions,patchSize,numPatch,isAccepted,isBugFix,tenure,owner,totalCommit,revExp,reviewInterval,fileCount,numNewFiles,dirCount,cyCmplx,cmtVolume
0,0,10098,4,2,6,2,1,0,7,5010,178,330,1.57,2,0,1,0,0
0,0,10096,9,6,15,3,1,0,7,5010,177,330,0.14,1,0,1,6.15385,0.806024
0,0,10075,14,10,24,2,1,0,7,5010,176,328,0.75,3,0,3,6.7,0.83259
0,0,9944,10,10,20,2,1,0,6,5010,173,317,7.92,1,0,1,6.07692,0.80532
0,0,9945,1,1,2,2,1,0,6,5010,174,317,0.01,1,0,1,0,0
0,0,9943,2,2,4,3,1,0,6,5010,172,317,0.16,1,0,1,6.07692,0.80532
0,0,9940,18,28,46,2,1,0,6,5010,171,317,0.01,2,0,1,3.2,0.745273
0,0,5418,110,21,131,11,1,0,4,5010,145,238,1916.74,2,0,2,4.50275,0.816886
0,0,1100,449,340,789,11,1,0,1,5010,9,4,4030.04,8,6,1,2.80556,0.487589
0,0,9666,201,0,201,7,1,1,6,5010,167,302,73.06,2,2,2,0,0
0,0,9770,18,8,26,3,1,1,6,5010,169,308,19.7,4,0,1,4.94524,0.830028
0,0,9665,1,1,2,2,1,0,6,5010,166,302,1.31,1,0,1,0,0
0,0,4522,452,0,452,2,0,0,3,5010,110,218,1404.22,6,6,1,4.75926,0.81678
0,0,7440,1,0,1,5,1,1,4,5010,159,285,191.3,1,0,1,3.28571,0.813382
0,0,6074,172,8,180,8,1,1,4,5010,150,255,504.21,3,1,1,3.40476,0.67327
0,0,7713,46,0,46,4,1,0,5,5010,165,295,0.46,1,0,1,1,0.75
0,0,7617,4,0,4,2,1,1,5,5010,164,289,0.04,1,0,1,0,0
0,0,7615,1,1,2,3,1,1,5,5010,163,289,1.94,1,0,1,3.16667,0.624031
0,0,7491,1,0,1,2,1,0,4,5010,162,288,71.84,1,0,1,0,0
0,0,7445,12,20,32,3,1,0,4,5010,161,286,20.63,2,0,1,3.64286,0.815313
0,0,7443,10,0,10,2,1,0,4,5010,160,285,1.16,1,0,1,2.625,0.833333
0,0,7260,5,3,8,2,1,0,4,5010,158,279,1.84,1,0,1,4.9,0.842657
0,0,7171,15,5,20,2,1,0,4,5010,157,276,1.37,1,0,1,0,0
0,0,7129,1,1,2,2,1,0,4,5010,156,276,0.05,1,0,1,0,0
0,0,5710,9,5,14,3,1,0,4,5010,147,248,311.19,5,0,5,2.8,0.492723
0,0,7127,55,0,55,2,1,0,4,5010,155,276,0.03,4,4,1,0,0
0,0,6912,2,0,2,2,1,0,4,5010,154,265,7.56,1,0,1,0,0
0,0,6806,33,3,36,2,1,0,4,5010,153,264,0.69,2,0,1,4.15,0.859255
0,0,6075,103,192,295,9,1,1,4,5010,151,255,165.38,9,1,3,0.930283,0.141786
0,0,6426,81,9,90,4,1,0,4,5010,152,258,5.07,1,0,1,3.28571,0.814039
0,0,6071,0,10,10,2,1,0,4,5010,149,255,2.43,2,0,2,0,0
0,0,5416,28,0,28,3,1,1,4,5010,144,238,1.82,1,0,1,0,0
0,0,5412,31,0,31,2,1,0,4,5010,140,238,2.62,1,1,1,0,0
0,0,5414,31,0,31,2,1,0,4,5010,142,238,2.62,1,1,1,0,0.580645
0,0,5413,31,0,31,2,1,0,4,5010,141,238,2.62,1,1,1,0,0
0,0,5415,31,0,31,2,1,0,4,5010,143,238,2.62,1,1,1,0,0.580645
0,0,5411,31,0,31,2,1,0,4,5010,139,238,2.62,1,1,1,0,0
0,0,5340,21,0,21,2,1,1,4,5010,138,236,0.98,1,0,1,7.09091,0.770889
0,0,5250,2,0,2,2,1,0,4,5010,137,234,20.4,1,0,1,2.2,0.836021
