"Developer","Time (minutes)","Bug Type"
"H-1",5,"Simple"
"H-2",7.5,"Simple"
"H-3",11.7,"Simple"
"H-4",13.8,"Simple"
"H-5",16.9,"Simple"
"H-6",17.3,"Simple"
"H-7",17.6,"Simple"
"H-8",18.3,"Simple"
"H-9",19.8,"Simple"
"H-10",22.2,"Simple"
"H-11",23.2,"Simple"
"H-12",24.7,"Simple"
"H-13",25,"Medium"
"H-14",26.2,"Medium"
"H-15",26.5,"Medium"
"H-16",26.9,"Medium"
"H-17",27.2,"Medium"
"H-18",28.2,"Medium"
"H-19",28.7,"Medium"
"H-20",30.2,"Medium"
"H-21",30.3,"Medium"
"H-22",30.7,"Medium"
"H-23",33.4,"Medium"
"H-24",35.9,"Medium"
"H-25",38.2,"Medium"
"H-26",39.3,"Medium"
"H-27",41.4,"Complex"
"H-28",41.6,"Complex"
"H-29",49.4,"Complex"
"H-30",50.8,"Complex"
